	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MJ21_7.5000_balanced.cool	all	0	64.67865835970854	279	1.0
1	MJ21_7.5000_balanced.cool	all	5000	2.791263419721464	249	1.0
2	MJ21_7.5000_balanced.cool	all	10000	0.012857747645672454	219	1.0
3	MJ21_7.5000_balanced.cool	all	15000	0.00932507007499945	189	1.0
4	MJ21_7.5000_balanced.cool	all	20000	0.007640312796235158	159	1.0
5	MJ21_7.5000_balanced.cool	all	25000	0.007190094088650055	129	1.0
6	MJ21_7.5000_balanced.cool	all	30000	0.005949329834899604	99	1.0
7	MJ21_7.5000_balanced.cool	all	35000	0.006073586042742933	69	1.0
8	MJ21_7.5000_balanced.cool	all	40000	0.004220020519148363	49	1.0
9	MJ21_7.5000_balanced.cool	all	45000	0.00400325527723088	40	1.0
10	MJ21_7.5000_balanced.cool	all	50000	0.006142656771671061	36	1.0
11	MJ21_7.5000_balanced.cool	all	55000	0.00296941130135513	32	1.0
12	MJ21_7.5000_balanced.cool	all	60000	0.0041893603139251875	28	1.0
13	MJ21_7.5000_balanced.cool	all	65000	0.0016185965234439175	24	1.0
14	MJ21_7.5000_balanced.cool	all	70000	0.0009318233357972531	20	1.0
15	MJ21_7.5000_balanced.cool	all	75000	0.004629476983962116	16	1.0
16	MJ21_7.5000_balanced.cool	all	80000	0.005485118749994039	12	1.0
17	MJ21_7.5000_balanced.cool	all	90000	0.007769160650532525	5	1.0
18	MJ21_7.5000_balanced.cool	all	95000	0.007595967795454671	2	1.0
