	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MJ21_pool.10000_balanced.cool	all	0	32.950326742518506	148	1.0
1	MJ21_pool.10000_balanced.cool	all	10000	0.7543508065969114	118	1.0
2	MJ21_pool.10000_balanced.cool	all	20000	0.030999764388511833	88	1.0
3	MJ21_pool.10000_balanced.cool	all	30000	0.01779110029635157	58	1.0
4	MJ21_pool.10000_balanced.cool	all	40000	0.016426089494082193	28	1.0
5	MJ21_pool.10000_balanced.cool	all	50000	0.01603167032657668	19	1.0
6	MJ21_pool.10000_balanced.cool	all	60000	0.011415532935178068	15	1.0
7	MJ21_pool.10000_balanced.cool	all	70000	0.009548728380371354	11	1.0
8	MJ21_pool.10000_balanced.cool	all	80000	0.009881029832066143	7	1.0
9	MJ21_pool.10000_balanced.cool	all	90000	0.011608820127129181	3	1.0
