task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	66/be044e	1201887	NFCORE_HIC:HIC:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2024-11-07 17:02:13.874	9.1s	0ms	95.7%	1 MB	11 MB	2 MB	1.1 KB
3	a7/b0e80e	1201889	NFCORE_HIC:HIC:PREPARE_GENOME:BOWTIE2_BUILD (30xFos_genome.fa)	COMPLETED	0	2024-11-07 17:02:13.935	9s	2s	490.5%	118.9 MB	1.7 GB	17.7 MB	19.9 MB
2	9e/2e51f3	1201888	NFCORE_HIC:HIC:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (30xFos_genome.fa)	COMPLETED	0	2024-11-07 17:02:13.905	9s	0ms	35.1%	2.4 MB	12.6 MB	1.4 MB	7.8 KB
33	fd/a03d6c	1201919	NFCORE_HIC:HIC:COOLER:COOLER_MAKEBINS (null})	COMPLETED	0	2024-11-07 17:02:23.887	9.1s	6.5s	215.6%	63.5 MB	8.2 GB	40.8 MB	30.1 KB
32	fa/9cd308	1201918	NFCORE_HIC:HIC:COOLER:COOLER_MAKEBINS (null})	COMPLETED	0	2024-11-07 17:02:23.837	9.1s	6.7s	212.4%	66.4 MB	8.2 GB	40.8 MB	59.5 KB
35	07/1af4ff	1201917	NFCORE_HIC:HIC:COOLER:COOLER_MAKEBINS (null})	COMPLETED	0	2024-11-07 17:02:23.816	9.1s	5s	329.0%	70 MB	8.2 GB	40.8 MB	7 KB
31	e1/99ee70	1201920	NFCORE_HIC:HIC:COOLER:COOLER_MAKEBINS (null})	COMPLETED	0	2024-11-07 17:02:23.930	9s	6.3s	202.6%	58.6 MB	8.2 GB	40.8 MB	117.6 KB
34	c1/6ad1d2	1201921	NFCORE_HIC:HIC:COOLER:COOLER_MAKEBINS (null})	COMPLETED	0	2024-11-07 17:02:23.955	9s	6.3s	204.9%	60.1 MB	8.2 GB	40.8 MB	12.8 KB
36	c6/db4479	1201922	NFCORE_HIC:HIC:COOLER:COOLER_MAKEBINS (null})	COMPLETED	0	2024-11-07 17:02:23.999	9s	5.3s	276.9%	66.6 MB	8.2 GB	40.8 MB	3.8 KB
4	79/cb3e89	1201896	NFCORE_HIC:HIC:FASTQC (MJ21_1)	COMPLETED	0	2024-11-07 17:02:23.303	2m 35s	2m 29s	203.4%	1 GB	4.7 GB	1.6 GB	3.6 MB
11	ad/180df5	1201897	NFCORE_HIC:HIC:FASTQC (MJ21_5)	COMPLETED	0	2024-11-07 17:02:23.327	2m 35s	2m 29s	201.0%	1.1 GB	4.7 GB	1.6 GB	3.6 MB
13	03/e713e4	1201891	NFCORE_HIC:HIC:FASTQC (MJ21_6)	COMPLETED	0	2024-11-07 17:02:23.165	2m 40s	2m 36s	199.3%	1.1 GB	4.6 GB	1.7 GB	3.6 MB
18	53/670c68	1201901	NFCORE_HIC:HIC:FASTQC (MJ21_8)	COMPLETED	0	2024-11-07 17:02:23.432	2m 55s	2m 48s	156.0%	1.2 GB	4.7 GB	1.2 GB	3.7 MB
7	36/1d4157	1201900	NFCORE_HIC:HIC:FASTQC (MJ21_3)	COMPLETED	0	2024-11-07 17:02:23.408	3m 25s	3m 20s	199.4%	1.1 GB	4.8 GB	2.1 GB	3.6 MB
20	cf/926934	1201906	NFCORE_HIC:HIC:HICPRO:HICPRO_MAPPING:BOWTIE2_ALIGN (MJ21_8)	COMPLETED	0	2024-11-07 17:02:23.555	3m 34s	3m 29s	1311.1%	153.9 MB	1.7 GB	13.3 GB	13.6 GB
6	85/8ebd70	1201890	NFCORE_HIC:HIC:FASTQC (MJ21_2)	COMPLETED	0	2024-11-07 17:02:23.136	3m 55s	3m 49s	162.1%	1.1 GB	4.7 GB	2.3 GB	3.6 MB
