chrom	start	end	name	eigval1	eigval2	eigval3
MG_1::chr2R:9783303-9864769	0	81466	MG_1::chr2R:9783303-9864769	-0.8663302737203378	-0.8195380567334847	0.7694414717759223
MG_2::chr2R:9861736-9954592	0	92856	MG_2::chr2R:9861736-9954592	-0.43909361378268763	0.37936780780648116	0.18293381421276997
MG_3::chr2R:9937874-10035582	0	97708	MG_3::chr2R:9937874-10035582	-1.491324957754328	1.4017983541690653	0.945956773339783
MG_4::chr2R:10034493-10133457	0	98964	MG_4::chr2R:10034493-10133457	-0.9027260221292153	0.7457086906440916	0.5431360548658299
FlyFos027077::chrX:795762-831457	0	35695	FlyFos027077::chrX:795762-831457			
FlyFos031487::chrX:2135290-2166685	0	31395	FlyFos031487::chrX:2135290-2166685			
FlyFos025581::chrX:2685715-2721010	0	35295	FlyFos025581::chrX:2685715-2721010			
FlyFos018703::chrX:3667733-3708827	0	41094	FlyFos018703::chrX:3667733-3708827			
FlyFos029355::chrX:3704259-3739628	0	35369	FlyFos029355::chrX:3704259-3739628			
FlyFos022426::chrX:3724647-3755934	0	31287	FlyFos022426::chrX:3724647-3755934			
FlyFos025448::chrX:5318986-5352179	0	33193	FlyFos025448::chrX:5318986-5352179			
FlyFos022038::chrX:7035928-7072577	0	36649	FlyFos022038::chrX:7035928-7072577			
FlyFos030785::chrX:7053320-7095787	0	42467	FlyFos030785::chrX:7053320-7095787			
FlyFos021879::chrX:8909920-8947159	0	37239	FlyFos021879::chrX:8909920-8947159			
FlyFos023955::chrX:10742683-10778978	0	36295	FlyFos023955::chrX:10742683-10778978			
FlyFos021967::chrX:10778059-10813017	0	34958	FlyFos021967::chrX:10778059-10813017			
FlyFos025500::chrX:10806687-10840288	0	33601	FlyFos025500::chrX:10806687-10840288			
FlyFos021012::chrX:10832134-10868578	0	36444	FlyFos021012::chrX:10832134-10868578			
FlyFos017984::chrX:11124685-11157816	0	33131	FlyFos017984::chrX:11124685-11157816			
FlyFos026333::chrX:13312144-13347266	0	35122	FlyFos026333::chrX:13312144-13347266			
FlyFos018941::chrX:14500243-14533957	0	33714	FlyFos018941::chrX:14500243-14533957			
FlyFos019248::chrX:15252394-15293829	0	41435	FlyFos019248::chrX:15252394-15293829			
FlyFos020589::chrX:16217642-16258872	0	41230	FlyFos020589::chrX:16217642-16258872			
FlyFos030772::chrX:16900768-16933931	0	33163	FlyFos030772::chrX:16900768-16933931			
FlyFos031639::chrX:16987106-17017397	0	30291	FlyFos031639::chrX:16987106-17017397			
FlyFos025442::chrX:18647514-18690910	0	43396	FlyFos025442::chrX:18647514-18690910			
FlyFos029863::chrX:19017578-19051456	0	33878	FlyFos029863::chrX:19017578-19051456			
FlyFos019190::chrX:19681040-19717450	0	36410	FlyFos019190::chrX:19681040-19717450			
FlyFos023727::chrX:19725749-19763469	0	37720	FlyFos023727::chrX:19725749-19763469			
FlyFos026416::chrX:21036774-21075498	0	38724	FlyFos026416::chrX:21036774-21075498			
