chrom	start	end	weight	E1	E2	E3
MG_1::chr2R:9783303-9864769	0	20000	0.01383442759314705			
MG_1::chr2R:9783303-9864769	20000	40000	0.014489418449482113			
MG_1::chr2R:9783303-9864769	40000	60000	0.014948773860721926			
MG_1::chr2R:9783303-9864769	60000	80000	0.014861890208855992			
MG_1::chr2R:9783303-9864769	80000	81466				
MG_2::chr2R:9861736-9954592	0	20000	0.01673235799745541			
MG_2::chr2R:9861736-9954592	20000	40000	0.014049190477501014			
MG_2::chr2R:9861736-9954592	40000	60000	0.015725435816629944			
MG_2::chr2R:9861736-9954592	60000	80000	0.018052707789554676			
MG_2::chr2R:9861736-9954592	80000	92856				
MG_3::chr2R:9937874-10035582	0	20000				
MG_3::chr2R:9937874-10035582	20000	40000	0.012524697552504085			
MG_3::chr2R:9937874-10035582	40000	60000	0.014791648768397224			
MG_3::chr2R:9937874-10035582	60000	80000	0.012745844521473274			
MG_3::chr2R:9937874-10035582	80000	97708	0.014600356911360152			
MG_4::chr2R:10034493-10133457	0	20000	0.014370559742814154			
MG_4::chr2R:10034493-10133457	20000	40000	0.013438084263783392			
MG_4::chr2R:10034493-10133457	40000	60000	0.014136856359803244			
MG_4::chr2R:10034493-10133457	60000	80000	0.013771272872514426			
MG_4::chr2R:10034493-10133457	80000	98964	0.014200130009302453			
FlyFos027077::chrX:795762-831457	0	20000	0.005761171735228181			
FlyFos027077::chrX:795762-831457	20000	35695	0.008755914692435671			
FlyFos031487::chrX:2135290-2166685	0	20000	0.0028798334752177597			
FlyFos031487::chrX:2135290-2166685	20000	31395	0.005370678493008014			
FlyFos025581::chrX:2685715-2721010	0	20000	0.01771132703426156			
FlyFos025581::chrX:2685715-2721010	20000	35295	0.023040330740603177			
FlyFos018703::chrX:3667733-3708827	0	20000	0.01814143789999754			
FlyFos018703::chrX:3667733-3708827	20000	40000	0.021762700027128275			
FlyFos018703::chrX:3667733-3708827	40000	41094				
FlyFos029355::chrX:3704259-3739628	0	20000	0.013007670765825532			
FlyFos029355::chrX:3704259-3739628	20000	35369				
FlyFos022426::chrX:3724647-3755934	0	20000	0.13672223910077372			
FlyFos022426::chrX:3724647-3755934	20000	31287	0.08508911185791924			
FlyFos025448::chrX:5318986-5352179	0	20000	0.012374697924522338			
FlyFos025448::chrX:5318986-5352179	20000	33193	0.01912113187860333			
FlyFos022038::chrX:7035928-7072577	0	20000	0.013485812761614974			
FlyFos022038::chrX:7035928-7072577	20000	36649				
FlyFos030785::chrX:7053320-7095787	0	20000				
FlyFos030785::chrX:7053320-7095787	20000	40000	0.011653417574726814			
FlyFos030785::chrX:7053320-7095787	40000	42467	0.09119350410749959			
FlyFos021879::chrX:8909920-8947159	0	20000	0.014503214089494596			
FlyFos021879::chrX:8909920-8947159	20000	37239	0.01422889290702957			
FlyFos023955::chrX:10742683-10778978	0	20000	0.01338204153919998			
FlyFos023955::chrX:10742683-10778978	20000	36295	0.018812109843000198			
FlyFos021967::chrX:10778059-10813017	0	20000	0.02841409605948508			
FlyFos021967::chrX:10778059-10813017	20000	34958	0.06272974288779742			
FlyFos025500::chrX:10806687-10840288	0	20000	0.02739154292844931			
FlyFos025500::chrX:10806687-10840288	20000	33601	0.07361053225282074			
FlyFos021012::chrX:10832134-10868578	0	20000	0.028655115410276672			
FlyFos021012::chrX:10832134-10868578	20000	36444	0.020206175529954268			
FlyFos017984::chrX:11124685-11157816	0	20000	0.013560285941704154			
FlyFos017984::chrX:11124685-11157816	20000	33131	0.021228718443144258			
FlyFos026333::chrX:13312144-13347266	0	20000	0.005064303594890564			
FlyFos026333::chrX:13312144-13347266	20000	35122	0.00698818724503801			
FlyFos018941::chrX:14500243-14533957	0	20000	0.017530986075686254			
FlyFos018941::chrX:14500243-14533957	20000	33714	0.024526859269955265			
FlyFos019248::chrX:15252394-15293829	0	20000	0.015086308347420191			
FlyFos019248::chrX:15252394-15293829	20000	40000	0.015953325476543614			
FlyFos019248::chrX:15252394-15293829	40000	41435				
FlyFos020589::chrX:16217642-16258872	0	20000	0.009478851672772537			
FlyFos020589::chrX:16217642-16258872	20000	40000	0.00844020392348822			
FlyFos020589::chrX:16217642-16258872	40000	41230				
FlyFos030772::chrX:16900768-16933931	0	20000	0.0042496706883537174			
FlyFos030772::chrX:16900768-16933931	20000	33163	0.006640910740443971			
FlyFos031639::chrX:16987106-17017397	0	20000	0.00376826004816518			
FlyFos031639::chrX:16987106-17017397	20000	30291	0.007190997989150532			
FlyFos025442::chrX:18647514-18690910	0	20000	0.017675650834571444			
FlyFos025442::chrX:18647514-18690910	20000	40000	0.01765528610956044			
FlyFos025442::chrX:18647514-18690910	40000	43396				
FlyFos029863::chrX:19017578-19051456	0	20000	0.025440985470387867			
FlyFos029863::chrX:19017578-19051456	20000	33878	0.035614859134782684			
FlyFos019190::chrX:19681040-19717450	0	20000	0.018758969396122017			
FlyFos019190::chrX:19681040-19717450	20000	36410	0.022573127785849776			
FlyFos023727::chrX:19725749-19763469	0	20000	0.037490680036331055			
FlyFos023727::chrX:19725749-19763469	20000	37720	0.041187288421839045			
FlyFos026416::chrX:21036774-21075498	0	20000	0.0068902659009690455			
FlyFos026416::chrX:21036774-21075498	20000	38724	0.007256596549081077			
