chrom	start	end	region	is_bad_bin	log2_insulation_score_75000	n_valid_pixels_75000	log2_insulation_score_125000	n_valid_pixels_125000	log2_insulation_score_250000	n_valid_pixels_250000	boundary_strength_75000	boundary_strength_125000	boundary_strength_250000	is_boundary_75000	is_boundary_125000	is_boundary_250000
MG_1::chr2R:9783303-9864769	0	5000	MG_1::chr2R:9783303-9864769	False	-0.05978471641187116	13.0	-0.05978471641187116	13.0	-0.05978471641187116	13.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	5000	10000	MG_1::chr2R:9783303-9864769	False	-0.02906972466614673	25.0	-0.02906972466614673	25.0	-0.02906972466614673	25.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	10000	15000	MG_1::chr2R:9783303-9864769	False	-0.017918691979710556	36.0	-0.017918691979710556	36.0	-0.017918691979710556	36.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	15000	20000	MG_1::chr2R:9783303-9864769	False	0.0	45.0	0.0	45.0	0.0	45.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	20000	25000	MG_1::chr2R:9783303-9864769	False	-0.005759663724902744	52.0	-0.005759663724902744	52.0	-0.005759663724902744	52.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	25000	30000	MG_1::chr2R:9783303-9864769	False	-0.03351821035105404	57.0	-0.03351821035105404	57.0	-0.03351821035105404	57.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	30000	35000	MG_1::chr2R:9783303-9864769	False	-0.0027701980604127084	60.0	-0.0027701980604127084	60.0	-0.0027701980604127084	60.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	35000	40000	MG_1::chr2R:9783303-9864769	False	0.030173475724659983	61.0	0.030173475724659983	61.0	0.030173475724659983	61.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	40000	45000	MG_1::chr2R:9783303-9864769	False	0.046568734958053214	60.0	0.046568734958053214	60.0	0.046568734958053214	60.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	45000	50000	MG_1::chr2R:9783303-9864769	False	0.03011593562922382	57.0	0.03011593562922382	57.0	0.03011593562922382	57.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	50000	55000	MG_1::chr2R:9783303-9864769	False	0.022925302791868857	52.0	0.022925302791868857	52.0	0.022925302791868857	52.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	55000	60000	MG_1::chr2R:9783303-9864769	False	0.09366144564064119	45.0	0.09366144564064119	45.0	0.09366144564064119	45.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	60000	65000	MG_1::chr2R:9783303-9864769	False	0.14758964506583971	36.0	0.14758964506583971	36.0	0.14758964506583971	36.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	65000	70000	MG_1::chr2R:9783303-9864769	False	0.1903587939016938	25.0	0.1903587939016938	25.0	0.1903587939016938	25.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	70000	75000	MG_1::chr2R:9783303-9864769	False	-0.012568731549023384	13.0	-0.012568731549023384	13.0	-0.012568731549023384	13.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	75000	80000	MG_1::chr2R:9783303-9864769	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	80000	81466	MG_1::chr2R:9783303-9864769	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	0	5000	MG_2::chr2R:9861736-9954592	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
